alert_id,transaction_id,alert_type,alert_date,resolved,resolution_date,remarks,resolution_time,resolution_date_corrected
alert129118,txn10029118,suspicious_login,14-12-2023,TRUE,16-12-2023 17:35,Make experience history international knowledge simply whole.,17:35:41,16-Dec-2023
alert103019,txn10003019,suspicious_login,16-03-2025,FALSE,,Anything wide bar tonight allow operation certainly.,00:00:00,00-Jan-1900
alert143397,txn10043397,unusual_amount,05-05-2025,FALSE,,Time open half enter and customer rule.,00:00:00,00-Jan-1900
alert185636,txn10085636,frequent_failure,12-01-2024,TRUE,13-01-2024 19:59,Make well take music imagine.,19:59:34,13-Jan-2024
alert109063,txn10009063,frequent_failure,27-01-2024,TRUE,29-01-2024 01:21,Morning project soon would she happen respond.,01:21:26,29-Jan-2024
alert113940,txn10013940,suspicious_login,25-03-2024,TRUE,28-03-2024 01:05,Thus number state.,01:05:21,28-Mar-2024
alert156319,txn10056319,suspicious_login,04-11-2024,TRUE,06-11-2024 04:28,Lead stuff understand month.,04:28:10,06-Nov-2024
alert151548,txn10051548,unusual_amount,17-09-2024,TRUE,19-09-2024 11:38,Goal art kid near doctor step.,11:38:20,19-Sep-2024
alert153063,txn10053063,unusual_amount,09-07-2025,TRUE,09-07-2025 13:12,Another million heart young market course.,13:12:53,09-Jul-2025
alert179535,txn10079535,frequent_failure,31-12-2023,TRUE,01-01-2024 10:43,Thing think thus soldier.,10:43:29,01-Jan-2024
alert134119,txn10034119,unusual_time,13-03-2025,TRUE,14-03-2025 21:21,Week bring wear difficult cut much.,21:21:20,14-Mar-2025
alert183960,txn10083960,suspicious_login,22-06-2025,TRUE,23-06-2025 09:48,Theory factor local again practice focus.,09:48:39,23-Jun-2025
alert194161,txn10094161,suspicious_login,16-12-2021,TRUE,19-12-2021 00:01,Spring clear common peace.,00:01:12,19-Dec-2021
alert190981,txn10090981,unusual_time,10-01-2025,TRUE,10-01-2025 23:50,Simply else current hope.,23:50:54,10-Jan-2025
alert187499,txn10087499,unusual_time,05-08-2025,TRUE,06-08-2025 08:06,Talk voice camera sign to action.,08:06:42,06-Aug-2025
alert170279,txn10070279,unusual_time,19-05-2023,TRUE,19-05-2023 16:47,Machine various civil when so.,16:47:31,19-May-2023
alert129641,txn10029641,unusual_time,28-02-2025,TRUE,03-03-2025 07:56,Bag at owner affect none player.,07:56:10,03-Mar-2025
alert109279,txn10009279,suspicious_login,03-06-2025,FALSE,,Worker trip recently much age method respond.,00:00:00,00-Jan-1900
alert134892,txn10034892,unusual_amount,31-07-2024,TRUE,01-08-2024 17:26,Center particular eight seek sure sea.,17:26:50,01-Aug-2024
alert137894,txn10037894,suspicious_login,07-07-2025,FALSE,,Mention detail another movie test their yes sing.,00:00:00,00-Jan-1900
alert134018,txn10034018,unusual_amount,11-11-2024,TRUE,11-11-2024 20:50,Character space treatment owner many entire under detail.,20:50:35,11-Nov-2024
alert145043,txn10045043,unusual_amount,12-03-2025,TRUE,14-03-2025 01:57,Road management organization amount likely perform hard.,01:57:02,14-Mar-2025
alert183445,txn10083445,suspicious_login,27-04-2025,TRUE,28-04-2025 12:36,Require career mention anyone president.,12:36:11,28-Apr-2025
alert153214,txn10053214,unusual_amount,30-07-2025,TRUE,31-07-2025 00:12,Through money recent nothing save.,00:12:17,31-Jul-2025
alert115224,txn10015224,unusual_time,14-02-2025,TRUE,15-02-2025 09:12,Since professional need job part your.,09:12:08,15-Feb-2025
alert106435,txn10006435,frequent_failure,02-03-2024,TRUE,04-03-2024 15:31,Red matter answer be.,15:31:24,04-Mar-2024
alert154510,txn10054510,frequent_failure,20-08-2024,TRUE,21-08-2024 07:25,Too involve election money smile open cause.,07:25:41,21-Aug-2024
alert161704,txn10061704,unusual_amount,09-05-2025,FALSE,,Drive hope artist better produce page.,00:00:00,00-Jan-1900
alert170210,txn10070210,suspicious_login,30-06-2025,TRUE,01-07-2025 23:37,Make side movie size make himself need either.,23:37:46,01-Jul-2025
alert143629,txn10043629,suspicious_login,10-06-2025,TRUE,13-06-2025 13:23,Start human in.,13:23:33,13-Jun-2025
alert162523,txn10062523,unusual_time,10-09-2023,TRUE,11-09-2023 23:06,Against bill her prove expect while conference where.,23:06:24,11-Sep-2023
alert127065,txn10027065,unusual_amount,19-03-2025,TRUE,21-03-2025 02:29,Beautiful stage structure rest.,02:29:25,21-Mar-2025
alert136445,txn10036445,unusual_time,26-07-2025,TRUE,28-07-2025 19:42,Claim guess because hand late.,19:42:58,28-Jul-2025
alert169416,txn10069416,unusual_time,09-02-2025,TRUE,12-02-2025 02:38,Create decision whole agree bank natural.,02:38:03,12-Feb-2025
alert190174,txn10090174,unusual_amount,17-05-2025,TRUE,18-05-2025 19:51,Political plan them former your.,19:51:17,18-May-2025
alert179081,txn10079081,frequent_failure,19-03-2025,TRUE,19-03-2025 17:44,Woman front space ten almost.,17:44:48,19-Mar-2025
alert191763,txn10091763,unusual_amount,05-05-2025,TRUE,07-05-2025 07:20,Remember forward main indeed talk leave.,07:20:50,07-May-2025
alert195323,txn10095323,frequent_failure,28-12-2023,TRUE,28-12-2023 17:03,Realize great here forget doctor wind.,17:03:40,28-Dec-2023
alert171596,txn10071596,unusual_time,06-08-2024,TRUE,07-08-2024 04:10,Seven hit relationship successful walk baby behavior state.,04:10:00,07-Aug-2024
alert150888,txn10050888,frequent_failure,26-07-2025,TRUE,26-07-2025 21:37,Cold out person stay story.,21:37:38,26-Jul-2025
alert167772,txn10067772,suspicious_login,10-05-2025,TRUE,10-05-2025 16:43,Itself concern rule.,16:43:24,10-May-2025
alert156177,txn10056177,frequent_failure,24-02-2025,TRUE,25-02-2025 01:19,Summer read raise risk likely network late.,01:19:11,25-Feb-2025
alert171410,txn10071410,suspicious_login,05-05-2025,FALSE,,Tough mission series animal different condition.,00:00:00,00-Jan-1900
alert138444,txn10038444,unusual_time,09-09-2024,TRUE,11-09-2024 08:25,Piece consumer far find benefit measure pretty.,08:25:11,11-Sep-2024
alert116362,txn10016362,suspicious_login,27-05-2025,TRUE,28-05-2025 05:08,Everyone effect return.,05:08:09,28-May-2025
alert132696,txn10032696,unusual_amount,13-06-2025,TRUE,15-06-2025 11:33,Fact whom evening population thought.,11:33:36,15-Jun-2025
alert105348,txn10005348,unusual_amount,05-10-2024,TRUE,07-10-2024 02:50,Scientist seek push speech choose market perform.,02:50:05,07-Oct-2024
alert106672,txn10006672,unusual_amount,11-06-2025,TRUE,13-06-2025 02:30,Program they kitchen maybe wife activity.,02:30:26,13-Jun-2025
alert152141,txn10052141,unusual_time,12-07-2025,TRUE,13-07-2025 21:49,Military on share letter three.,21:49:44,13-Jul-2025
alert160323,txn10060323,unusual_amount,02-08-2025,TRUE,03-08-2025 05:41,High natural check major realize.,05:41:14,03-Aug-2025
alert146369,txn10046369,frequent_failure,23-02-2025,FALSE,,Task glass purpose until cell those.,00:00:00,00-Jan-1900
alert102687,txn10002687,frequent_failure,29-12-2024,TRUE,31-12-2024 02:48,Site third firm food.,02:48:05,31-Dec-2024
alert106088,txn10006088,unusual_amount,14-05-2025,TRUE,16-05-2025 10:41,Old degree organization condition activity according see.,10:41:22,16-May-2025
alert111616,txn10011616,unusual_time,11-10-2022,TRUE,12-10-2022 01:39,Notice anything sport.,01:39:06,12-Oct-2022
alert118167,txn10018167,suspicious_login,23-02-2024,TRUE,24-02-2024 00:47,Edge agency have do.,00:47:55,24-Feb-2024
alert149293,txn10049293,frequent_failure,03-05-2025,TRUE,04-05-2025 21:51,Great when want conference head military.,21:51:06,04-May-2025
alert114015,txn10014015,suspicious_login,05-08-2025,TRUE,05-08-2025 13:07,Direction fly office character truth TV middle value.,13:07:21,05-Aug-2025
alert198379,txn10098379,unusual_amount,08-12-2024,TRUE,11-12-2024 02:07,Believe visit system view even.,02:07:13,11-Dec-2024
alert184708,txn10084708,frequent_failure,04-08-2025,TRUE,05-08-2025 18:20,Significant opportunity traditional those.,18:20:51,05-Aug-2025
alert128232,txn10028232,frequent_failure,02-08-2025,TRUE,03-08-2025 12:38,Practice anything act building national arm.,12:38:40,03-Aug-2025
alert164204,txn10064204,frequent_failure,08-09-2024,TRUE,10-09-2024 17:05,Commercial hand half success then.,17:05:30,10-Sep-2024
alert172251,txn10072251,suspicious_login,25-02-2025,TRUE,27-02-2025 07:00,Response nothing body adult finally a.,07:00:06,27-Feb-2025
alert143886,txn10043886,unusual_amount,27-04-2022,TRUE,29-04-2022 10:56,Between vote within individual pay.,10:56:28,29-Apr-2022
alert104236,txn10004236,unusual_amount,15-07-2025,TRUE,16-07-2025 16:40,Goal again agreement recognize increase you laugh administration.,16:40:36,16-Jul-2025
alert182816,txn10082816,suspicious_login,21-01-2025,TRUE,22-01-2025 03:50,Skin low girl poor figure.,03:50:09,22-Jan-2025
alert105774,txn10005774,frequent_failure,11-04-2024,TRUE,14-04-2024 23:51,Series significant policy but note cut appear.,23:51:45,14-Apr-2024
alert149142,txn10049142,unusual_time,29-10-2023,TRUE,29-10-2023 19:55,Mention whole indicate real truth.,19:55:41,29-Oct-2023
alert102686,txn10002686,unusual_time,24-07-2025,TRUE,26-07-2025 14:10,Stay nearly draw.,14:10:27,26-Jul-2025
alert135050,txn10035050,suspicious_login,10-07-2025,FALSE,,Recognize unit car cell fear sea once.,00:00:00,00-Jan-1900
alert197381,txn10097381,frequent_failure,28-06-2025,TRUE,28-06-2025 17:59,Management blood reflect five impact.,17:59:06,28-Jun-2025
alert189997,txn10089997,suspicious_login,16-01-2025,TRUE,17-01-2025 01:07,Reach even interest suffer.,01:07:38,17-Jan-2025
alert166207,txn10066207,suspicious_login,25-07-2025,TRUE,26-07-2025 19:40,Son time stay put few indicate still officer.,19:40:13,26-Jul-2025
alert135129,txn10035129,unusual_time,05-01-2025,TRUE,05-01-2025 07:16,Player event save term condition.,07:16:54,05-Jan-2025
alert156663,txn10056663,unusual_time,27-05-2025,TRUE,27-05-2025 23:16,And they level product type.,23:16:10,27-May-2025
alert127922,txn10027922,unusual_time,26-02-2024,TRUE,27-02-2024 07:08,News less film perhaps event attention system.,07:08:53,27-Feb-2024
alert123462,txn10023462,suspicious_login,05-01-2025,TRUE,05-01-2025 21:12,Issue alone water generation eye air smile.,21:12:14,05-Jan-2025
alert172914,txn10072914,frequent_failure,06-08-2025,TRUE,06-08-2025 08:06,Mind clear go support language treat look.,08:06:42,06-Aug-2025
alert199144,txn10099144,frequent_failure,09-09-2024,TRUE,12-09-2024 06:07,Model able relationship note able establish.,06:07:12,12-Sep-2024
alert123829,txn10023829,frequent_failure,29-11-2023,TRUE,30-11-2023 03:11,Institution test dark memory.,03:11:26,30-Nov-2023
alert143051,txn10043051,frequent_failure,19-10-2024,TRUE,19-10-2024 21:45,Issue hard message situation energy lead hundred.,21:45:40,19-Oct-2024
alert135154,txn10035154,frequent_failure,03-04-2025,TRUE,05-04-2025 00:30,Describe enjoy movie water agency education physical.,00:30:13,05-Apr-2025
alert153811,txn10053811,frequent_failure,12-08-2024,TRUE,15-08-2024 07:38,North choice ask need space maybe media every.,07:38:11,15-Aug-2024
alert178186,txn10078186,unusual_amount,26-06-2025,TRUE,27-06-2025 20:03,Network father why population hear loss.,20:03:11,27-Jun-2025
alert153822,txn10053822,frequent_failure,01-08-2025,TRUE,04-08-2025 06:55,Cup cover choice and near.,06:55:28,04-Aug-2025
alert152446,txn10052446,frequent_failure,27-07-2025,TRUE,27-07-2025 21:13,Language add probably first.,21:13:16,27-Jul-2025
alert160532,txn10060532,unusual_time,04-07-2025,TRUE,07-07-2025 08:54,Left start base.,08:54:55,07-Jul-2025
alert181110,txn10081110,unusual_time,23-05-2024,TRUE,23-05-2024 05:35,Truth financial citizen either.,05:35:59,23-May-2024
alert160084,txn10060084,unusual_time,04-04-2024,TRUE,06-04-2024 03:45,Call space alone with enjoy might by agent.,03:45:44,06-Apr-2024
alert141393,txn10041393,suspicious_login,06-05-2025,FALSE,,So your program probably manager citizen book process.,00:00:00,00-Jan-1900
alert164965,txn10064965,unusual_time,03-08-2025,FALSE,,Key research audience deep pay western.,00:00:00,00-Jan-1900
alert161001,txn10061001,suspicious_login,04-06-2025,FALSE,,Not him own night even.,00:00:00,00-Jan-1900
alert160433,txn10060433,frequent_failure,13-07-2024,TRUE,16-07-2024 04:23,Difficult system them more at without trial.,04:23:19,16-Jul-2024
alert196682,txn10096682,unusual_time,06-05-2025,TRUE,08-05-2025 22:33,Us year station get part.,22:33:20,08-May-2025
alert147309,txn10047309,unusual_amount,26-07-2025,TRUE,28-07-2025 01:20,Until usually deep successful sister require agent.,01:20:59,28-Jul-2025
alert160725,txn10060725,frequent_failure,05-08-2025,TRUE,06-08-2025 00:38,Way not home analysis might glass.,00:38:37,06-Aug-2025
alert137076,txn10037076,suspicious_login,25-06-2025,TRUE,27-06-2025 10:55,Somebody present maybe consumer project must.,10:55:50,27-Jun-2025
alert137821,txn10037821,suspicious_login,05-04-2025,FALSE,,Look card record.,00:00:00,00-Jan-1900
alert120317,txn10020317,unusual_time,26-12-2024,TRUE,28-12-2024 04:00,Relationship across reality.,04:00:05,28-Dec-2024
alert134797,txn10034797,suspicious_login,10-07-2025,TRUE,11-07-2025 23:47,Region well head number true.,23:47:29,11-Jul-2025
alert152874,txn10052874,suspicious_login,25-11-2024,TRUE,28-11-2024 12:33,Report set as also up.,12:33:19,28-Nov-2024
alert196137,txn10096137,frequent_failure,03-03-2025,TRUE,06-03-2025 09:39,Once practice pick.,09:39:21,06-Mar-2025
alert117331,txn10017331,suspicious_login,06-02-2025,FALSE,,Suggest science necessary office.,00:00:00,00-Jan-1900
alert188996,txn10088996,unusual_amount,13-12-2024,TRUE,14-12-2024 22:38,Her former guy.,22:38:19,14-Dec-2024
alert108544,txn10008544,frequent_failure,02-12-2024,TRUE,02-12-2024 20:45,Successful plan season fine laugh store also.,20:45:53,02-Dec-2024
alert144490,txn10044490,suspicious_login,24-05-2025,TRUE,24-05-2025 11:41,Turn husband space early away.,11:41:51,24-May-2025
alert123609,txn10023609,suspicious_login,23-06-2021,FALSE,,Movement very production you physical.,00:00:00,00-Jan-1900
alert178741,txn10078741,suspicious_login,30-07-2025,TRUE,01-08-2025 21:39,State test whole front.,21:39:45,01-Aug-2025
alert165874,txn10065874,suspicious_login,28-07-2025,FALSE,,Discover tax another.,00:00:00,00-Jan-1900
alert125536,txn10025536,unusual_time,11-07-2025,TRUE,12-07-2025 19:52,Produce market establish firm public state us.,19:52:38,12-Jul-2025
alert170584,txn10070584,frequent_failure,29-01-2025,TRUE,30-01-2025 06:58,Can attorney data maybe which adult development point.,06:58:49,30-Jan-2025
alert157768,txn10057768,suspicious_login,15-10-2024,FALSE,,Away successful one feel contain option.,00:00:00,00-Jan-1900
alert196810,txn10096810,unusual_time,05-02-2025,TRUE,06-02-2025 09:10,Catch market between house white.,09:10:28,06-Feb-2025
alert153243,txn10053243,unusual_amount,05-07-2024,TRUE,05-07-2024 23:57,Agent else trouble their officer.,23:57:16,05-Jul-2024
alert183588,txn10083588,suspicious_login,11-07-2025,TRUE,12-07-2025 10:34,Support really education husband hope cause beat.,10:34:27,12-Jul-2025
alert125472,txn10025472,suspicious_login,12-10-2024,FALSE,,Continue pull know son exactly protect present prove.,00:00:00,00-Jan-1900
alert119212,txn10019212,unusual_time,04-07-2025,TRUE,05-07-2025 07:20,Must sister lot tree.,07:20:04,05-Jul-2025
alert181670,txn10081670,frequent_failure,13-10-2024,TRUE,14-10-2024 19:46,Long operation color over.,19:46:42,14-Oct-2024
alert150901,txn10050901,unusual_amount,02-06-2025,TRUE,04-06-2025 14:16,Create allow look room stand before.,14:16:35,04-Jun-2025
alert108945,txn10008945,frequent_failure,12-04-2024,TRUE,12-04-2024 10:10,Turn discuss leave still return big role happy.,10:10:11,12-Apr-2024
alert175410,txn10075410,unusual_time,28-07-2025,TRUE,30-07-2025 03:42,Continue great report stock foot store left.,03:42:59,30-Jul-2025
alert160883,txn10060883,frequent_failure,05-05-2025,TRUE,07-05-2025 16:58,Citizen decide challenge gas style cost.,16:58:15,07-May-2025
alert192960,txn10092960,frequent_failure,28-02-2025,TRUE,01-03-2025 21:14,Girl major radio effort consider attorney bar kind.,21:14:07,01-Mar-2025
alert130733,txn10030733,unusual_time,05-06-2025,TRUE,06-06-2025 13:07,Budget machine born which cost foreign policy form.,13:07:38,06-Jun-2025
alert170947,txn10070947,unusual_time,13-03-2025,TRUE,14-03-2025 02:30,Window four there bank.,02:30:32,14-Mar-2025
alert154988,txn10054988,unusual_time,05-07-2025,TRUE,05-07-2025 16:48,Network prepare five.,16:48:20,05-Jul-2025
alert175970,txn10075970,frequent_failure,16-10-2022,FALSE,,Sell behind stock chance across though run either.,00:00:00,00-Jan-1900
alert157810,txn10057810,unusual_amount,31-07-2025,TRUE,01-08-2025 20:11,Black lawyer early strategy information ever.,20:11:53,01-Aug-2025
alert131173,txn10031173,suspicious_login,05-05-2025,TRUE,06-05-2025 01:14,Find answer drop assume.,01:14:48,06-May-2025
alert107014,txn10007014,frequent_failure,16-04-2024,TRUE,17-04-2024 21:15,Body maybe page onto mention.,21:15:39,17-Apr-2024
alert176669,txn10076669,suspicious_login,13-03-2025,TRUE,15-03-2025 06:04,Reduce early option common guess growth national.,06:04:44,15-Mar-2025
alert108081,txn10008081,unusual_time,18-10-2024,TRUE,21-10-2024 03:39,Front involve language realize clearly.,03:39:53,21-Oct-2024
alert115445,txn10015445,frequent_failure,14-06-2024,TRUE,16-06-2024 19:02,Wear human structure plan policy many seem.,19:02:06,16-Jun-2024
alert162083,txn10062083,suspicious_login,11-04-2024,TRUE,12-04-2024 08:15,Total partner space sea someone.,08:15:43,12-Apr-2024
alert137222,txn10037222,frequent_failure,05-08-2025,TRUE,06-08-2025 08:06,Inside suffer thus design give.,08:06:42,06-Aug-2025
alert134932,txn10034932,suspicious_login,10-03-2024,TRUE,10-03-2024 14:20,Want her customer successful type anything.,14:20:19,10-Mar-2024
alert171625,txn10071625,unusual_time,11-07-2024,TRUE,11-07-2024 22:24,Knowledge seat job even run maintain system.,22:24:05,11-Jul-2024
alert108769,txn10008769,unusual_time,04-07-2025,FALSE,,Yet bank magazine.,00:00:00,00-Jan-1900
alert176438,txn10076438,frequent_failure,23-10-2024,TRUE,24-10-2024 22:38,Ability media treatment firm.,22:38:28,24-Oct-2024
alert113367,txn10013367,suspicious_login,10-04-2024,TRUE,11-04-2024 01:53,Born movie quality whole than.,01:53:25,11-Apr-2024
alert126225,txn10026225,frequent_failure,30-04-2025,TRUE,02-05-2025 20:42,Hair only avoid audience civil chance choose.,20:42:25,02-May-2025
alert149193,txn10049193,suspicious_login,19-02-2024,TRUE,22-02-2024 02:43,While address option future.,02:43:22,22-Feb-2024
alert142317,txn10042317,suspicious_login,05-01-2025,TRUE,05-01-2025 16:20,Herself though notice several miss manager.,16:20:30,05-Jan-2025
alert128368,txn10028368,unusual_amount,20-07-2024,TRUE,20-07-2024 08:40,Fact population claim real fund eight field role.,08:40:07,20-Jul-2024
alert162375,txn10062375,unusual_amount,13-05-2024,TRUE,14-05-2024 13:43,Many money wear.,13:43:37,14-May-2024
alert149285,txn10049285,unusual_amount,27-07-2025,TRUE,28-07-2025 03:58,Central yet town it door be.,03:58:42,28-Jul-2025
alert178432,txn10078432,suspicious_login,28-06-2025,TRUE,30-06-2025 06:46,Natural out start inside goal student hair.,06:46:53,30-Jun-2025
alert133224,txn10033224,frequent_failure,13-07-2025,TRUE,13-07-2025 17:48,Certain decide individual prevent guess.,17:48:19,13-Jul-2025
alert199274,txn10099274,unusual_amount,22-07-2025,TRUE,24-07-2025 08:46,Reduce shoulder should how few little part.,08:46:40,24-Jul-2025
alert150111,txn10050111,suspicious_login,06-07-2025,TRUE,09-07-2025 20:11,Then side herself everyone.,20:11:20,09-Jul-2025
alert179792,txn10079792,frequent_failure,27-12-2024,FALSE,,Reveal involve eat necessary research turn address.,00:00:00,00-Jan-1900
alert163679,txn10063679,unusual_amount,28-12-2022,TRUE,29-12-2022 01:03,Possible skill side computer face.,01:03:59,29-Dec-2022
alert169635,txn10069635,suspicious_login,23-07-2023,TRUE,24-07-2023 05:51,Even behind pretty group TV soldier.,05:51:15,24-Jul-2023
alert109438,txn10009438,frequent_failure,26-11-2024,TRUE,28-11-2024 02:32,Hear cut east that teach yeah.,02:32:40,28-Nov-2024
alert131259,txn10031259,frequent_failure,30-06-2025,TRUE,01-07-2025 01:28,Company reason new staff.,01:28:39,01-Jul-2025
alert118610,txn10018610,suspicious_login,24-05-2024,TRUE,25-05-2024 09:40,Television nor thus thing.,09:40:25,25-May-2024
alert174508,txn10074508,unusual_time,05-08-2025,TRUE,06-08-2025 08:06,Piece clear late.,08:06:42,06-Aug-2025
alert159859,txn10059859,frequent_failure,28-06-2025,TRUE,30-06-2025 21:05,Operation exactly table bed arm cover.,21:05:33,30-Jun-2025
alert175845,txn10075845,unusual_time,29-05-2025,TRUE,31-05-2025 08:13,Maintain small serve daughter.,08:13:28,31-May-2025
alert112680,txn10012680,unusual_time,03-04-2025,TRUE,06-04-2025 21:01,Simply security support defense street whom our list.,21:01:42,06-Apr-2025
alert103783,txn10003783,unusual_time,15-01-2024,TRUE,18-01-2024 04:02,Financial though especially affect people.,04:02:01,18-Jan-2024
alert109146,txn10009146,frequent_failure,27-05-2024,TRUE,30-05-2024 05:07,Health my a form.,05:07:22,30-May-2024
alert116144,txn10016144,unusual_amount,13-04-2025,TRUE,13-04-2025 14:31,Southern plan leg party admit mean pretty need.,14:31:01,13-Apr-2025
alert148570,txn10048570,frequent_failure,24-07-2025,TRUE,27-07-2025 12:28,Particularly just just put worker owner.,12:28:40,27-Jul-2025
alert146362,txn10046362,suspicious_login,11-09-2022,TRUE,13-09-2022 15:23,Value public realize provide raise fine level.,15:23:14,13-Sep-2022
alert127272,txn10027272,unusual_amount,01-01-2025,TRUE,02-01-2025 07:55,Thus number program note ahead heavy responsibility.,07:55:29,02-Jan-2025
alert155956,txn10055956,frequent_failure,21-09-2023,TRUE,22-09-2023 08:15,Security operation charge get side.,08:15:27,22-Sep-2023
alert177634,txn10077634,suspicious_login,04-03-2024,TRUE,06-03-2024 12:55,Morning hard against quickly there skill.,12:55:49,06-Mar-2024
alert160891,txn10060891,unusual_time,15-11-2024,TRUE,17-11-2024 20:06,Improve yard success own carry know life.,20:06:41,17-Nov-2024
alert196997,txn10096997,suspicious_login,03-07-2025,TRUE,04-07-2025 01:04,Chair involve return a under lead.,01:04:08,04-Jul-2025
alert143074,txn10043074,suspicious_login,19-08-2022,TRUE,19-08-2022 20:40,High product event.,20:40:42,19-Aug-2022
alert172825,txn10072825,frequent_failure,06-05-2025,TRUE,07-05-2025 12:59,Man child sound.,12:59:10,07-May-2025
alert188974,txn10088974,unusual_time,07-07-2025,TRUE,08-07-2025 14:26,Me person citizen alone.,14:26:37,08-Jul-2025
alert162427,txn10062427,unusual_amount,26-07-2025,TRUE,28-07-2025 02:33,While force party friend heart.,02:33:02,28-Jul-2025
