feedback_id,customer_id,date_submitted,feedback_text,satisfaction_score,issue_type,resolved,Resolved_bool,satisfaction_bool
fdbk100184,cust108148,04-02-2025,Election material say beautiful sell when knowledge four.,4,transaction,FALSE,0,2
fdbk100185,cust102454,07-06-2024,Heart go another bank information.,3,fraud,TRUE,1,1
fdbk100186,cust102349,09-03-2023,Three want already that stock oil doctor rather stage.,5,other,TRUE,1,4
fdbk100187,cust107090,02-02-2023,Him manage mouth by guess.,5,fraud,TRUE,1,1
fdbk100188,cust106314,31-05-2025,Throw agreement successful he education should how usually.,2,transaction,TRUE,1,2
fdbk100189,cust100525,06-04-2021,Research through budget view class prove send pattern small office.,4,transaction,TRUE,1,2
fdbk100190,cust105221,27-04-2025,Fact hour avoid include yet phone.,5,app_usability,TRUE,1,3
fdbk100191,cust100508,26-06-2025,Unit training baby win soldier fact boy food.,5,fraud,TRUE,1,1
fdbk100192,cust102547,10-07-2022,Yes number page every southern measure go professor national nature.,3,transaction,TRUE,1,2
fdbk100193,cust108514,07-10-2024,Woman main factor change before.,3,fraud,TRUE,1,1
fdbk100194,cust108164,13-10-2023,Carry stop attorney order husband.,2,transaction,TRUE,1,2
fdbk100195,cust109715,18-06-2025,Brother theory top according provide federal all modern indeed Republican.,3,fraud,TRUE,1,1
fdbk100196,cust106372,25-09-2021,Seat answer next mean participant Mrs treat close central adult.,2,transaction,TRUE,1,2
fdbk100197,cust100831,09-04-2024,Write technology middle offer no will season rich into.,3,transaction,TRUE,1,2
fdbk100198,cust101518,26-08-2024,Mission kind plant discover miss same dog bar truth.,2,app_usability,FALSE,0,3
fdbk100199,cust104388,21-12-2021,State record professional kid quite certain focus voice wrong drive.,1,transaction,TRUE,1,2
fdbk100200,cust104133,14-02-2025,Condition argue peace explain government follow rule production field.,4,fraud,FALSE,0,1
fdbk100201,cust106966,26-05-2025,Information girl shake character way audience begin.,4,transaction,TRUE,1,2
fdbk100202,cust103130,25-01-2024,Four market drop trade box.,5,transaction,FALSE,0,2
fdbk100203,cust106092,12-05-2025,Any will significant candidate subject defense someone.,4,transaction,TRUE,1,2
fdbk100204,cust104823,08-08-2022,Apply music approach person recent candidate notice government keep field.,1,transaction,TRUE,1,2
fdbk100205,cust104987,02-06-2025,High usually involve budget direction ground relationship discuss simple mean.,3,transaction,FALSE,0,2
fdbk100206,cust106219,12-07-2025,Where simply democratic night sport writer contain building where mission strategy.,4,app_usability,FALSE,0,3
fdbk100207,cust101126,13-03-2023,Begin stuff read bill financial.,3,transaction,TRUE,1,2
fdbk100208,cust106488,18-01-2024,Organization present unit source pay technology heavy stock.,4,fraud,TRUE,1,1
fdbk100209,cust109944,04-02-2025,Raise six foot condition imagine behind.,5,transaction,TRUE,1,2
fdbk100210,cust100196,17-05-2025,One to here form reflect.,5,fraud,TRUE,1,1
fdbk100211,cust109223,29-06-2025,Try role movie young focus.,5,app_usability,TRUE,1,3
fdbk100212,cust108718,07-06-2024,Red determine quite player pass seem between thing across themselves.,1,app_usability,TRUE,1,3
fdbk100213,cust100561,22-08-2022,Chance arrive dream film forward bring admit discussion goal expect.,1,app_usability,TRUE,1,3
fdbk100214,cust106621,03-03-2025,Forget street ok military pretty heart think get drug maintain.,5,transaction,TRUE,1,2
fdbk100215,cust103393,05-10-2023,It threat practice idea camera record Republican last today.,5,transaction,TRUE,1,2
fdbk100216,cust107511,28-04-2021,Teacher too heavy fine hot.,3,fraud,TRUE,1,1
fdbk100217,cust103910,07-08-2022,Only prove may responsibility operation human Mrs.,4,transaction,TRUE,1,2
fdbk100218,cust102055,29-04-2023,Arrive resource another tell lot.,2,transaction,TRUE,1,2
fdbk100219,cust102656,03-04-2024,Especially adult hospital describe across measure worker black production.,4,transaction,TRUE,1,2
fdbk100220,cust102149,10-06-2025,Bill large ago music bank man.,3,other,TRUE,1,4
fdbk100221,cust109019,20-05-2023,Heart catch black interest pattern senior sister level early.,4,transaction,TRUE,1,2
fdbk100222,cust107874,11-06-2025,Hour whole land very one choice.,5,app_usability,TRUE,1,3
fdbk100223,cust103912,05-07-2025,Prepare according approach learn blue view man add general.,5,app_usability,TRUE,1,3
fdbk100224,cust104866,20-01-2025,Record buy whatever so left cost your.,5,transaction,TRUE,1,2
fdbk100225,cust100031,22-05-2024,Think make weight court into.,3,fraud,TRUE,1,1
fdbk100226,cust106240,25-03-2023,Strategy federal sing could face quite lawyer.,1,transaction,TRUE,1,2
fdbk100227,cust101502,08-07-2025,Without hand official interest another.,5,transaction,TRUE,1,2
fdbk100228,cust103324,29-05-2025,Teach suffer when picture today.,1,fraud,TRUE,1,1
fdbk100229,cust101803,31-07-2024,Understand contain Republican plant which into late indicate.,5,transaction,TRUE,1,2
fdbk100230,cust106816,01-09-2023,Born production over like report.,3,transaction,TRUE,1,2
fdbk100231,cust103396,30-12-2024,Everyone how analysis experience oil.,1,transaction,TRUE,1,2
fdbk100232,cust107421,15-11-2023,Popular or space state task true finish smile.,5,transaction,TRUE,1,2
fdbk100233,cust106912,28-04-2024,Street detail local huge environment response music action.,5,app_usability,TRUE,1,3
fdbk100234,cust105963,04-08-2025,Law history budget final between.,2,transaction,FALSE,0,2
fdbk100235,cust104645,16-07-2023,Save usually street situation benefit everything rock reduce project truth team.,5,fraud,TRUE,1,1
fdbk100236,cust105794,15-11-2024,Agree indeed certainly particular or past.,2,transaction,TRUE,1,2
fdbk100237,cust105944,03-12-2024,Brother need much week candidate stop feel she clearly early.,4,transaction,TRUE,1,2
fdbk100238,cust102486,27-05-2025,Guess technology writer summer rock.,4,app_usability,TRUE,1,3
fdbk100239,cust106653,25-05-2025,Question moment money wish military thus one forget individual.,4,other,TRUE,1,4
fdbk100240,cust104673,19-06-2025,Medical see recently national time.,4,fraud,TRUE,1,1
fdbk100241,cust105765,26-05-2025,Rich part might main position.,4,transaction,TRUE,1,2
fdbk100242,cust105719,29-03-2025,Manage opportunity try and media light rule kid no.,4,transaction,TRUE,1,2
fdbk100243,cust109733,26-01-2023,Must may former card billion which.,5,fraud,TRUE,1,1
fdbk100244,cust100104,02-07-2025,Even film figure station will product Mrs food evidence provide.,4,transaction,TRUE,1,2
fdbk100245,cust109392,25-06-2024,Staff method future enough eye party our decade force chair.,4,transaction,FALSE,0,2
fdbk100246,cust105496,20-03-2023,Degree notice treat major young whose most team.,3,other,TRUE,1,4
fdbk100247,cust100505,19-08-2024,Less though song region teacher listen effect film.,5,other,TRUE,1,4
fdbk100248,cust109102,14-01-2025,Fire real car collection quite day sign job should.,5,transaction,TRUE,1,2
fdbk100249,cust103972,11-07-2025,Share voice shake look better social few home.,4,other,TRUE,1,4
fdbk100250,cust100794,08-04-2024,Ten on so condition might.,5,transaction,TRUE,1,2
fdbk100251,cust105347,27-02-2023,Forget assume soon reflect deep protect watch race provide.,5,transaction,TRUE,1,2
fdbk100252,cust102043,07-02-2025,Conference know about good road mention figure culture son night.,1,other,TRUE,1,4
fdbk100253,cust106757,28-04-2025,View anything cell tree follow camera about toward bill imagine.,2,transaction,TRUE,1,2
fdbk100254,cust107648,29-04-2025,Cold practice series color clearly reflect.,4,transaction,TRUE,1,2
fdbk100255,cust104942,02-09-2024,Born reduce maintain seek actually education thank field.,3,app_usability,TRUE,1,3
fdbk100256,cust108331,28-07-2025,Speak treat wife ground behind send nature sense.,5,app_usability,FALSE,0,3
fdbk100257,cust107128,30-01-2023,Movement allow short form people hold take.,2,transaction,TRUE,1,2
fdbk100258,cust105035,25-01-2024,Investment general put require human.,3,transaction,TRUE,1,2
fdbk100259,cust103601,19-05-2025,Wait throughout senior show action successful.,2,transaction,TRUE,1,2
fdbk100260,cust102058,11-05-2024,Mission student woman full tend manager.,4,transaction,FALSE,0,2
fdbk100261,cust105733,27-05-2024,Mother unit weight technology reach what room whether politics citizen.,4,transaction,TRUE,1,2
fdbk100262,cust102689,25-06-2025,Fight focus middle reality road friend ten.,5,other,TRUE,1,4
fdbk100263,cust104010,23-11-2024,Apply edge think carry itself card happy fine.,4,transaction,TRUE,1,2
fdbk100264,cust103203,08-06-2024,Discussion keep against theory provide way environmental despite stuff blood.,5,app_usability,TRUE,1,3
fdbk100265,cust105936,17-03-2024,Way team goal debate minute season in claim computer.,2,fraud,FALSE,0,1
fdbk100266,cust100839,22-03-2025,Knowledge foot eat fly leave line seat wrong stage wife today.,3,transaction,TRUE,1,2
fdbk100267,cust106063,27-06-2024,Goal local politics responsibility truth focus yeah consumer early old.,3,transaction,TRUE,1,2
fdbk100268,cust103165,27-02-2025,All building ahead answer begin able improve protect own walk.,4,other,TRUE,1,4
fdbk100269,cust106537,06-02-2022,Score grow want push over activity.,4,transaction,TRUE,1,2
fdbk100270,cust104456,12-09-2024,Room show use turn subject usually south.,4,transaction,TRUE,1,2
fdbk100271,cust102989,07-07-2025,Again majority provide involve official everything evening crime.,2,fraud,TRUE,1,1
fdbk100272,cust103920,22-10-2023,Raise however continue gas party door party.,1,transaction,TRUE,1,2
fdbk100273,cust104037,17-05-2025,Look effect local what marriage it.,3,transaction,TRUE,1,2
fdbk100274,cust102166,11-10-2024,Clear break happen structure half reality north since.,4,app_usability,FALSE,0,3
fdbk100275,cust101695,25-02-2025,However step about rich stop professional than area.,4,transaction,TRUE,1,2
fdbk100276,cust109193,10-05-2025,Program understand during likely everything word level myself.,1,transaction,TRUE,1,2
fdbk100277,cust109588,30-04-2025,Travel Mrs talk choose appear argue.,4,transaction,TRUE,1,2
fdbk100278,cust101851,15-12-2024,Hotel start nearly cause.,4,transaction,FALSE,0,2
fdbk100279,cust102028,09-07-2024,Play them site listen whom throughout project top let senior.,2,fraud,TRUE,1,1
